publication_year,citation_age,subfield_id,subfield_display_name,zero_share,gini,gini_cited_only
2020,5,1702,Artificial Intelligence,0.4635886932464023,0.8711101746185963,0.7597182912465906
2020,5,1703,Computational Theory and Mathematics,0.49965057715015543,0.8699354324945547,0.7400525281619487
2020,5,1704,Computer Graphics and Computer-Aided Design,0.6748270356572645,0.9217176219074056,0.7592592660622178
2020,5,1705,Computer Networks and Communications,0.49830250380688484,0.8482250896546566,0.697477241770165
2020,5,1706,Computer Science Applications,0.6023884925025754,0.8883412515947172,0.7191762655259519
2020,5,1707,Computer Vision and Pattern Recognition,0.35252414711899893,0.8386031843207967,0.7507292125859925
2020,5,1708,Hardware and Architecture,0.4725782727463753,0.8097433090111946,0.6392702819060858
2020,5,1709,Human-Computer Interaction,0.40731884057971013,0.8159191972008542,0.6894100649678184
2020,5,1710,Information Systems,0.6241984180452629,0.8982520134289969,0.7292507763225488
2020,5,1711,Signal Processing,0.38223281143635124,0.805607752695129,0.6853308966491949
2020,5,1712,Software,0.6096990488071106,0.8639117588332801,0.6513248539344088
